"0001";"192.168.33.129";"1";"4"
"0002";"s";;;"1";;"Router";;;"F"
"0002";"a";"a";"a";"1";"a";"Router";;;"F"
"0001";"192.168.33.129";"public";"private";"2c";"http://www.1q2w3e4r.com";"Router";"admin";"1234";"T"
"0001";"192.168.33.130";"F";"a";"1";"192.168.33.130";"Switch";"a";"a";"F"
"0001";"192.168.33.222";"F";"a";"1";"192.168.33.222";"Switch";;;"F"
"0002";"192.168.33.129";"public";"private";"2c";;"Router";"admin";"1234";"T"
"0001";"admin";"admin";"ADMIN"
"0002";"user";"user";"USER"
"0004";"a";"a";"USER"
"0003";"test";"test";"USER"
"0001";"ADMIN TEST";"admin@test.com";"081-1111111";"034-444444";"Department of Engineering";"Admin user test"
"0002";"USER TEST";"user@test.com";"082-2222222";"032-444444";"Department of Engineering";"User user test"
"0003";"test";;;;;
"0004";"a";"a";"a";"a";"a";"a"
"0001";"192.168.33.129";"2012-01-22";"01:42:06";"contact : aaaa"
"0001";"192.168.33.129";"2012-01-22";"02:15:55";"hostname : C"
"0001";"192.168.33.129";"2012-01-22";"01:48:48";"ifstatus 1 : 2"
"0001";"192.168.33.129";"2012-01-22";"01:50:24";"hostname : A"
"0001";"192.168.33.129";"2012-01-22";"21:33:08";"hostname : AAA"
"0001";"192.168.33.129";"2012-01-22";"21:33:10";"hostname : AAA"
"0001";"192.168.33.129";"2012-02-01";"17:50:46";"contact : Thailand"
"0001";"192.168.33.129";"2012-02-05";"11:00:59";"ifstatus 1 : 2"
"0001";"192.168.33.129";"2012-02-05";"11:00:51";"ifstatus 1 : 1"
"0001";"192.168.33.129";"2012-02-05";"12:05:44";"ifstatus 1 : 1"
"0001";"192.168.33.129";"2012-02-05";"12:05:49";"ifstatus 1 : 2"
"0001";"192.168.33.129";"2012-02-05";"13:21:01";"contact : A"
"0001";"192.168.33.129";"2012-02-06";"06:16:57";"hostname : aaaa"
"0001";"192.168.33.129";"2012-02-13";"00:19:01";"hostname : AAAA"
"0001";"192.168.33.129";"2012-03-11";"13:15:15";"ifstatus 3 : 2"
"0001";"192.168.33.129";"2012-03-11";"13:18:07";"ifstatus 3 : 1"
